timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1714730809338,9781,HTTP Request,200,OK,Thread Group for round robin 1-46,text,true,,229,115,500,500,http://0.0.0.0:8080/,9781,0,0
1714730809358,10183,HTTP Request,200,OK,Thread Group for round robin 1-47,text,true,,229,115,500,500,http://0.0.0.0:8080/,10183,0,1
1714730809379,10162,HTTP Request,200,OK,Thread Group for round robin 1-48,text,true,,229,115,500,500,http://0.0.0.0:8080/,10162,0,0
1714730809399,10525,HTTP Request,200,OK,Thread Group for round robin 1-49,text,true,,229,115,500,500,http://0.0.0.0:8080/,10525,0,0
1714730809418,10700,HTTP Request,200,OK,Thread Group for round robin 1-50,text,true,,229,115,500,500,http://0.0.0.0:8080/,10700,0,1
1714730809439,10882,HTTP Request,200,OK,Thread Group for round robin 1-51,text,true,,229,115,500,500,http://0.0.0.0:8080/,10882,0,1
1714730809459,11063,HTTP Request,200,OK,Thread Group for round robin 1-52,text,true,,229,115,500,500,http://0.0.0.0:8080/,11063,0,0
1714730809478,11242,HTTP Request,200,OK,Thread Group for round robin 1-53,text,true,,229,115,500,500,http://0.0.0.0:8080/,11242,0,1
1714730809498,11440,HTTP Request,200,OK,Thread Group for round robin 1-54,text,true,,229,115,500,500,http://0.0.0.0:8080/,11440,0,0
1714730809518,11420,HTTP Request,200,OK,Thread Group for round robin 1-55,text,true,,229,115,500,500,http://0.0.0.0:8080/,11420,0,0
1714730809538,11804,HTTP Request,200,OK,Thread Group for round robin 1-56,text,true,,229,115,500,500,http://0.0.0.0:8080/,11804,0,0
1714730809558,11784,HTTP Request,200,OK,Thread Group for round robin 1-57,text,true,,229,115,500,500,http://0.0.0.0:8080/,11784,0,0
1714730809578,12132,HTTP Request,200,OK,Thread Group for round robin 1-58,text,true,,229,115,500,500,http://0.0.0.0:8080/,12132,0,1
1714730809598,12288,HTTP Request,200,OK,Thread Group for round robin 1-59,text,true,,229,115,500,500,http://0.0.0.0:8080/,12288,0,1
1714730809617,12469,HTTP Request,200,OK,Thread Group for round robin 1-60,text,true,,229,115,500,500,http://0.0.0.0:8080/,12469,0,1
1714730809672,12613,HTTP Request,200,OK,Thread Group for round robin 1-62,text,true,,229,115,500,500,http://0.0.0.0:8080/,12613,0,0
1714730809672,12853,HTTP Request,200,OK,Thread Group for round robin 1-61,text,true,,229,115,500,500,http://0.0.0.0:8080/,12853,0,0
1714730809678,13008,HTTP Request,200,OK,Thread Group for round robin 1-63,text,true,,229,115,500,500,http://0.0.0.0:8080/,13008,0,0
1714730809698,13153,HTTP Request,200,OK,Thread Group for round robin 1-64,text,true,,229,115,500,500,http://0.0.0.0:8080/,13153,0,0
1714730809725,13330,HTTP Request,200,OK,Thread Group for round robin 1-65,text,true,,229,115,500,500,http://0.0.0.0:8080/,13330,0,0
1714730809738,13511,HTTP Request,200,OK,Thread Group for round robin 1-66,text,true,,229,115,500,500,http://0.0.0.0:8080/,13511,0,0
1714730809759,13669,HTTP Request,200,OK,Thread Group for round robin 1-67,text,true,,229,115,500,500,http://0.0.0.0:8080/,13669,0,0
1714730809778,13800,HTTP Request,200,OK,Thread Group for round robin 1-68,text,true,,229,115,500,500,http://0.0.0.0:8080/,13800,0,1
