timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1714732053118,48730,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group for least 1-434,text,false,,2612,0,104,104,http://0.0.0.0:8080/,0,0,0
1714732096436,5414,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group for least 1-40,text,false,,2612,0,103,103,http://0.0.0.0:8080/,0,0,0
1714732100394,1456,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group for least 1-59,text,false,,2612,0,103,103,http://0.0.0.0:8080/,0,0,0
1714731917450,184400,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group for least 1-121,text,false,,2612,0,103,103,http://0.0.0.0:8080/,0,0,0
1714732097614,4236,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group for least 1-45,text,false,,2612,0,103,103,http://0.0.0.0:8080/,0,0,0
1714731975380,126470,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group for least 1-250,text,false,,2612,0,103,103,http://0.0.0.0:8080/,0,0,0
1714731916291,185559,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group for least 1-115,text,false,,2612,0,103,103,http://0.0.0.0:8080/,0,0,0
1714732024352,77499,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group for least 1-363,text,false,,2612,0,103,103,http://0.0.0.0:8080/,0,0,1
1714732030098,71752,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group for least 1-381,text,false,,2612,0,103,103,http://0.0.0.0:8080/,0,0,1
1714731916460,185390,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group for least 1-116,text,false,,2612,0,103,103,http://0.0.0.0:8080/,0,0,0
1714732004989,96861,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group for least 1-326,text,false,,2612,0,103,103,http://0.0.0.0:8080/,0,0,1
1714732003776,98074,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group for least 1-321,text,false,,2612,0,102,102,http://0.0.0.0:8080/,0,0,0
1714731965240,136611,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group for least 1-237,text,false,,2612,0,99,99,http://0.0.0.0:8080/,0,0,0
1714731974034,127817,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group for least 1-248,text,false,,2612,0,99,99,http://0.0.0.0:8080/,0,0,6
1714731933398,168452,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group for least 1-159,text,false,,2612,0,98,98,http://0.0.0.0:8080/,0,0,0
